City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Quibor,VE,9.93,-69.62,95.0,36,79,6.93,broken clouds
120,Fort Frances,CA,48.6,-93.4,68.0,59,40,8.05,scattered clouds
121,Hopkinsville,US,36.87,-87.49,88.0,74,1,13.87,clear sky
122,Ribeira Grande,PT,38.52,-28.7,78.8,83,40,9.17,scattered clouds
123,San Juan,AR,-31.54,-68.54,63.37,28,1,20.13,clear sky
124,Snasa,NO,64.25,12.38,53.62,68,85,3.31,overcast clouds
125,Cidreira,BR,-30.18,-50.21,71.92,68,82,8.1,broken clouds
126,New Norfolk,AU,-42.78,147.06,52.0,68,89,3.6,overcast clouds
127,Shchigry,RU,51.88,36.9,60.8,77,56,4.47,broken clouds
128,Mogadishu,SO,2.04,45.34,77.9,84,9,15.93,light rain
129,Vila Franca Do Campo,PT,37.72,-25.43,77.0,88,75,14.99,broken clouds
130,Umm Lajj,SA,25.02,37.27,85.95,55,0,5.5,clear sky
131,Solwezi,ZM,-12.17,26.39,71.65,36,55,2.62,broken clouds
132,Tongzi,CN,28.78,105.09,78.17,86,96,2.8,light rain
133,Belmonte,BR,-15.86,-38.88,78.8,65,1,9.17,clear sky
134,Chokurdakh,RU,70.63,147.92,37.53,96,100,5.01,overcast clouds
135,Isangel,VU,-19.55,169.27,72.41,85,99,20.31,overcast clouds
136,Nanortalik,GL,60.14,-45.24,52.45,66,91,9.8,overcast clouds
137,Qaqortoq,GL,60.72,-46.03,62.6,29,40,21.92,scattered clouds
138,Mount Isa,AU,-20.73,139.5,64.4,31,0,2.24,clear sky
139,San Patricio,MX,19.22,-104.7,86.0,79,40,6.93,scattered clouds
140,Roebourne,AU,-20.78,117.13,75.04,46,0,3.83,clear sky
141,Hilo,US,19.73,-155.09,73.99,78,40,5.82,scattered clouds
142,Upernavik,GL,72.79,-56.15,41.9,66,0,6.67,clear sky
143,Bitam,GA,2.08,11.5,69.49,97,40,3.51,light rain
144,Hobyo,SO,5.35,48.53,77.7,82,0,25.43,clear sky
145,Pangody,RU,65.85,74.49,46.0,90,29,8.88,scattered clouds
146,Cody,US,44.53,-109.06,82.99,28,1,8.21,clear sky
147,Kuching,MY,1.55,110.33,73.4,100,20,1.23,few clouds
148,Alikalia,SL,9.17,-11.4,71.76,93,100,4.94,light rain
149,Jatai,BR,-17.88,-51.71,94.69,12,0,7.02,clear sky
150,Port Alfred,ZA,-33.59,26.89,54.45,61,18,20.65,few clouds
151,Butaritari,KI,3.07,172.79,82.58,72,39,11.48,scattered clouds
152,Saint George,US,37.1,-113.58,89.01,22,1,12.75,clear sky
153,Jamestown,US,42.1,-79.24,73.99,78,75,17.22,broken clouds
154,Zeya,RU,53.75,127.27,49.69,66,93,2.84,overcast clouds
155,Hami,CN,42.8,93.45,69.51,26,6,1.39,clear sky
156,Yarada,IN,17.65,83.27,84.2,89,75,3.36,mist
157,Cap Malheureux,MU,-19.98,57.61,70.0,75,9,8.01,light rain
158,Qaanaaq,GL,77.48,-69.36,40.14,69,0,2.48,clear sky
159,Boissevain,CA,49.23,-100.06,73.99,45,1,8.05,clear sky
160,Eltham,NZ,-39.43,174.3,50.0,96,13,3.0,light rain
161,Boundiali,CI,9.52,-6.49,75.63,91,100,5.37,moderate rain
162,Alice Town,BS,25.72,-79.3,85.12,72,99,5.88,overcast clouds
163,Shahr-E Kord,IR,32.33,50.86,69.8,21,20,2.24,few clouds
164,Merauke,ID,-8.47,140.33,77.9,85,99,16.37,overcast clouds
165,Labrea,BR,-7.26,-64.8,99.81,31,69,1.48,broken clouds
166,Clyde River,CA,70.47,-68.59,51.8,71,1,14.99,clear sky
167,Mabaruma,GY,8.2,-59.78,86.13,70,88,3.58,light rain
168,Puerto Escondido,MX,15.85,-97.07,82.4,54,75,5.82,broken clouds
169,Cartagena,CO,10.4,-75.51,91.4,70,40,12.75,scattered clouds
170,Marystown,CA,47.17,-55.15,66.0,100,1,10.0,clear sky
171,Yuanping,CN,38.72,112.76,67.64,91,82,2.06,broken clouds
172,Mindelo,CV,16.89,-24.98,87.8,62,40,10.29,scattered clouds
173,Chapais,CA,49.78,-74.85,55.4,62,90,9.17,overcast clouds
174,Kuryk,KZ,43.2,51.65,73.31,69,12,12.39,few clouds
175,Broken Hill,AU,-31.95,141.43,59.0,30,3,9.17,clear sky
176,Kungur,RU,57.44,56.96,61.83,90,97,7.65,overcast clouds
177,Kupang,ID,-10.17,123.58,73.24,79,12,11.16,few clouds
178,Dikson,RU,73.51,80.55,43.27,99,100,10.45,overcast clouds
179,Pinega,RU,64.7,43.39,53.44,84,100,6.35,overcast clouds
180,Huarmey,PE,-10.07,-78.15,67.37,67,60,12.01,broken clouds
181,Mashivka,UA,49.44,34.87,67.37,49,18,4.32,few clouds
182,San Carlos De Bariloche,AR,-41.15,-71.31,41.0,41,40,16.11,scattered clouds
183,Moree,AU,-29.47,149.85,50.0,66,0,6.93,clear sky
184,Rurrenabaque,BO,-14.44,-67.53,98.58,24,0,5.26,clear sky
185,Lubu,CN,23.17,112.28,78.42,82,29,1.9,scattered clouds
186,Sabang,ID,5.89,95.32,83.07,71,84,1.68,light rain
187,Kavieng,PG,-2.57,150.8,81.45,77,35,11.32,scattered clouds
188,Tigil,RU,57.8,158.67,39.31,93,16,1.21,few clouds
189,Carnarvon,AU,-24.87,113.63,62.6,72,0,13.87,clear sky
190,Pevek,RU,69.7,170.31,37.22,84,100,5.77,overcast clouds
191,Cabrobo,BR,-8.51,-39.31,91.81,31,83,16.82,broken clouds
192,Parakou,BJ,9.34,2.63,73.78,94,88,4.09,moderate rain
193,Lere,NG,10.39,8.57,71.46,91,81,4.03,moderate rain
194,Mapastepec,MX,15.43,-92.9,87.98,61,24,5.12,few clouds
195,Geraldton,AU,-28.77,114.6,42.8,87,0,13.6,clear sky
196,Arlit,NE,18.74,7.39,94.75,35,2,10.07,clear sky
197,Buckingham,GB,52.0,-0.99,55.0,88,98,4.0,overcast clouds
198,Bairiki,KI,1.33,172.98,82.4,78,40,6.93,scattered clouds
199,Vostok,RU,46.49,135.88,48.9,98,100,8.1,overcast clouds
200,Dharchula,IN,29.85,80.53,67.57,76,69,0.38,light rain
201,Ales,FR,44.13,4.08,70.0,6,46,1.99,scattered clouds
202,La Ronge,CA,55.1,-105.28,66.2,63,75,14.99,broken clouds
203,Adrar,MR,20.5,-10.07,106.41,7,0,17.92,clear sky
204,Maragogi,BR,-9.01,-35.22,79.0,76,33,13.51,scattered clouds
205,Caravelas,BR,-17.71,-39.25,78.93,64,5,7.4,clear sky
206,Katherine,AU,-14.47,132.27,73.4,56,53,6.93,broken clouds
207,Santo Domingo,DO,18.5,-69.99,93.2,59,40,9.17,scattered clouds
208,Kargasok,RU,59.06,80.86,54.05,95,22,4.88,few clouds
209,Sibolga,ID,1.74,98.78,77.56,83,99,3.22,overcast clouds
210,Kruisfontein,ZA,-34.0,24.73,46.99,68,25,5.99,scattered clouds
211,Antalaha,MG,-14.9,50.28,70.12,83,3,9.13,clear sky
212,Farsund,NO,58.09,6.8,62.01,70,85,7.92,overcast clouds
213,Rancho Palos Verdes,US,33.74,-118.39,73.0,77,20,8.05,few clouds
214,Touros,BR,-5.2,-35.46,82.4,69,40,14.99,scattered clouds
215,Gat,IL,31.61,34.76,84.99,80,0,4.0,clear sky
