City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
364,Congonhas,BR,82.4,scattered clouds,-20.5,-43.86,Hotel Colonial
371,Dongli,CN,82.4,mist,23.57,116.82,Chenghai Shizhang Donghuaqiao Hostel
372,Niigata,JP,79.0,clear sky,37.9,139.02,Toyoko Inn Niigata Ekimae
373,Diego De Almagro,CL,76.5,clear sky,-26.37,-70.05,hotel luna del desierto
374,Carutapera,BR,86.18,broken clouds,-1.2,-46.02,Lidera
378,Cabra,ES,82.0,clear sky,37.47,-4.44,MS Fuente Las Piedras
381,Rusera,IN,85.01,scattered clouds,25.75,86.03,Santosh Hotel&Santosh resturent
383,Karimganj,IN,77.16,light rain,24.87,92.35,Ahar Hotel And Aheli Restaurant
392,Takanabe,JP,78.3,clear sky,32.13,131.5,Hotel AZ Miyazaki Takanabe
398,Praia,CV,84.2,broken clouds,14.92,-23.51,LT Aparthotel
399,Fukue,JP,81.97,clear sky,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
401,Korla,CN,75.0,clear sky,41.76,86.15,Gulisitan Hotel
404,Naze,JP,80.6,broken clouds,28.37,129.48,奄美ポートタワーホテル
406,Rudozem,BG,81.0,clear sky,41.48,24.85,Хотел Друмекс
413,Barinitas,VE,86.29,clear sky,8.76,-70.41,Hotel El Jardín
416,Kangaba,ML,75.16,overcast clouds,11.93,-8.42,Hôtel Mandé
417,Manjeshwar,IN,77.0,mist,12.72,74.89,THE NOUSHA VILLAGE
423,Sile,TR,77.0,clear sky,41.18,29.61,Seref Hotel
424,Freeport,US,75.99,light rain,40.66,-73.58,The Freeport Inn and Marina
429,Aksaray,TR,84.2,clear sky,38.37,34.03,Kuzucular Park Hotel
435,Kijang,KR,80.6,few clouds,35.24,129.21,Brown Dot Gijang Yeonhwari
438,Kribi,CM,76.23,overcast clouds,2.95,9.92,Les Vagues bleues
441,Castle Rock,US,75.0,overcast clouds,39.37,-104.86,Best Western Plus Castle Rock
442,Trairi,BR,85.06,few clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
447,Natitingou,BJ,75.2,thunderstorm,10.3,1.38,Auberge Centrale
448,Kangavar,IR,77.0,clear sky,34.5,47.97,محمد جوادرضایی
450,Singkawang,ID,77.68,light rain,0.9,109.0,Capital O 1822 Wahana Inn
453,Tiarei,PF,78.8,few clouds,-17.53,-149.33,Le Rocher de Tahiti
456,Dawei,MM,77.14,broken clouds,14.08,98.2,Hotel Dawei
457,Lazaro Cardenas,MX,84.43,overcast clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
458,Dhidhdhoo,MV,83.5,broken clouds,6.88,73.1,Dhidhoo beach
463,Handan,CN,75.79,clear sky,36.6,114.47,Jin Jiang Inn - Handan China South Street Inn
469,Salinopolis,BR,84.76,scattered clouds,-0.61,-47.36,Hotel Salinópolis
472,Dhuburi,IN,81.34,light rain,26.03,89.97,Samrat Hotel and Lodge
473,Sao Joao Da Barra,BR,82.4,clear sky,-21.64,-41.05,Pousada Porto De Canoas
474,Saint Anthony,US,75.0,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
476,Salalah,OM,77.0,overcast clouds,17.02,54.09,HAMDAN PLAZA HOTEL
480,Saquarema,BR,82.4,clear sky,-22.92,-42.51,Hotel Fazenda Sol e Lua
484,Calabozo,VE,86.65,light rain,8.92,-67.43,Hotel Giardini
490,Samarai,PG,78.24,light rain,-10.62,150.67,Nuli Sapi
491,Bud,US,84.0,broken clouds,39.45,-86.18,Madsion Scouts Camp
